XYDATA,PA,PLC,PC,PE,PET,PP,PS,PVC,Type A  BoxCD02 (PE),Type B  BoxAB10 (PE),Type C  BoxBC07 (PE),Type D BoxBA09 (PE),Type Z Box A B01 (un),Type B Box A B08 (PP),Type B Box A D04 (PP),Type A Box A D08 (PP),Type C Box B G06 (PS),"(1,1)"
396.4196,1080.27,504.322,538.808,497.474,705.148,533.237,557.776,519.832,561.84,887.546,511.682,522.252,729.749,2113.7,621.692,750.39,567.943,0.864075084
397.4196,1081.9,504.228,538.871,497.646,706.222,529.072,558.401,520.09,561.84,887.613,511.285,522.239,730.568,2113.7,621.692,750.39,567.943,0.198647002
398.4196,1082.89,503.73,538.67,498.087,707.871,524.573,558.513,520.61,561.84,887.228,510.928,521.96,731.602,2113.7,621.692,750.39,567.943,0.455664393
399.4196,1083.41,503.18,538.246,498.625,709.46,520.227,558.34,521.195,561.84,886.756,510.718,521.662,732.263,2113.7,621.692,750.39,567.943,-0.010089457
400.4196,1083.73,503.016,537.661,499.043,710.214,516.626,558.176,521.599,561.308,886.648,510.78,521.652,731.853,2111.63,621.016,748.442,567.915,-0.261855339
401.4196,1084.05,503.468,536.991,499.204,709.769,514.141,558.176,521.67,560.949,887.099,511.169,522.058,730.196,2105.6,620.132,746.026,567.952,2.044471814
402.4196,1084.48,504.217,536.348,499.168,708.848,512.56,558.127,521.509,560.832,887.619,511.754,522.535,728.495,2098.64,619.348,743.777,568.153,-0.122387375
403.4196,1085.08,504.856,535.85,499.029,708.348,511.577,557.757,521.259,560.998,887.614,512.377,522.666,728.178,2094.37,619.062,742.46,568.488,0.632317398
404.4196,1085.95,505.136,535.55,498.864,708.718,510.926,556.971,521.022,561.426,886.895,512.868,522.289,729.786,2094.69,619.414,742.401,568.905,1.144998593
405.4196,1087.2,505.146,535.367,498.71,709.44,510.425,556.052,520.814,561.96,886.155,513.045,521.793,731.949,2097.61,619.982,742.98,569.333,1.696948036
406.4196,1088.92,505.021,535.198,498.6,709.869,509.903,555.335,520.643,562.43,886.197,512.724,521.642,733.057,2100.69,620.28,743.461,569.654,1.216578908
407.4196,1090.94,504.849,534.921,498.524,709.68,509.261,554.893,520.527,562.739,887.303,511.975,522.006,732.481,2102.52,620.027,743.449,569.746,0.26078903
408.4196,1092.62,504.646,534.379,498.398,709.113,508.517,554.351,520.506,562.923,888.828,511.31,522.55,731.326,2103.54,619.32,743.152,569.561,2.46463384
409.4196,1093.26,504.415,533.409,498.137,708.465,507.705,553.29,520.622,563.034,890.045,511.28,522.888,730.86,2104.38,618.293,742.84,569.179,0.391569168
410.4196,1092.89,504.188,532.034,497.795,707.985,506.939,551.737,520.88,563.108,890.631,511.951,522.866,731.537,2105.46,617.183,742.683,568.696,1.63028194
411.4196,1092.64,504.031,530.538,497.643,707.853,506.444,550.364,521.225,563.161,890.853,512.689,522.671,732.631,2106.91,616.369,742.71,568.222,0.347876356
412.4196,1093.66,504.011,529.22,497.955,708.235,506.449,549.87,521.597,563.209,891.024,512.822,522.508,733.338,2108.82,616.23,742.934,567.889,2.088114949
413.4196,1096.02,504.107,528.176,498.665,709.003,506.866,550.323,521.867,563.27,891.351,512.266,522.458,733.438,2111.02,616.757,743.293,567.825,1.507066645
414.4196,1098.51,504.191,527.263,499.302,709.672,507.234,551.032,521.826,563.368,891.92,511.637,522.45,733.406,2112.98,617.477,743.636,568.051,0.596503754
415.4196,1099.85,504.137,526.327,499.392,709.761,507.093,551.284,521.274,563.524,892.797,511.565,522.41,733.733,2114.18,617.905,743.807,568.458,-0.67031854
416.4196,1099.94,503.961,525.303,498.949,709.236,506.468,550.914,520.364,563.677,893.795,512.132,522.367,734.333,2114.58,617.863,743.745,568.93,0.597471289
417.4196,1099.77,503.821,524.215,498.466,708.51,505.868,550.298,519.595,563.692,894.477,512.878,522.455,734.555,2114.58,617.478,743.477,569.407,1.594442153
418.4196,1100.34,503.872,523.095,498.425,707.999,505.785,549.811,519.448,563.441,894.438,513.341,522.797,733.789,2114.61,616.895,743.044,569.874,0.15698416
419.4196,1101.8,504.101,522.024,498.789,707.909,506.178,549.494,519.916,562.986,893.901,513.438,523.308,732.479,2115.22,616.362,742.647,570.318,1.217085997
